category,authorLocation,requiredFunding,targetAudience,success
other,inland,82515,developers parents farmers seniors seniors seniors farmers seniors smes commuters patients youth seniors patients commuters commuters smes developers smes youth,1
healthcare,inland,108436,patients youth tourists teachers patients seniors developers tourists teachers seniors parents parents patients teachers smes parents parents farmers parents tourists,1
healthcare,coastal,43050,farmers youth commuters parents patients seniors seniors tourists smes patients youth smes tourists developers farmers patients smes seniors smes parents,1
infrastructure,coastal,54395,youth smes seniors youth smes smes parents parents teachers commuters,1
healthcare,coastal,33171,farmers patients parents seniors tourists teachers teachers smes developers smes,1
healthcare,rural,176929,tourists commuters teachers smes teachers youth tourists youth tourists farmers farmers teachers developers patients patients smes youth farmers patients youth teachers seniors parents commuters youth parents patients developers parents parents,1
other,urban,273803,youth developers farmers,0
technology,suburban,195117,commuters youth parents youth youth smes seniors youth youth smes,1
healthcare,unknown,210518,developers parents smes teachers youth teachers commuters youth smes youth smes seniors youth youth farmers developers smes teachers smes commuters commuters commuters youth teachers developers seniors farmers teachers commuters parents,1
healthcare,urban,147534,commuters parents tourists smes smes farmers farmers youth farmers smes youth parents parents seniors developers parents developers farmers teachers smes,1
agriculture,coastal,211549,developers patients teachers parents commuters smes commuters parents parents youth parents seniors youth tourists tourists farmers smes smes parents developers,1
healthcare,rural,258591,commuters tourists seniors teachers seniors parents developers parents teachers youth,1
other,coastal,86469,youth farmers smes,1
healthcare,urban,202100,tourists smes youth,1
healthcare,unknown,174586,youth seniors smes farmers commuters teachers farmers youth seniors developers farmers commuters parents smes teachers farmers parents teachers youth commuters teachers smes commuters seniors developers commuters youth developers developers teachers,1
healthcare,inland,256011,developers commuters teachers,1
technology,urban,2913,farmers tourists tourists farmers commuters parents teachers commuters youth youth seniors developers seniors youth patients tourists youth tourists developers seniors,1
agriculture,urban,267672,farmers teachers developers,1
infrastructure,urban,74249,patients teachers teachers tourists tourists developers seniors developers developers farmers farmers tourists parents youth commuters developers tourists smes seniors commuters,1
education,inland,209066,farmers teachers farmers seniors patients developers teachers youth seniors developers,1
other,coastal,294172,patients developers smes youth tourists farmers developers parents youth seniors,0
infrastructure,unknown,243523,seniors tourists farmers,0
agriculture,rural,32199,tourists smes smes,1
agriculture,unknown,226406,smes youth teachers commuters teachers teachers patients teachers developers parents developers parents patients farmers teachers developers farmers teachers parents farmers,1
education,urban,56045,patients commuters commuters patients parents tourists teachers developers smes seniors tourists developers seniors parents farmers farmers tourists parents parents patients tourists youth youth teachers commuters smes parents farmers seniors tourists,1
agriculture,inland,213578,tourists tourists parents smes smes youth developers youth smes commuters,1
other,urban,277446,farmers patients seniors developers seniors seniors tourists teachers smes patients patients seniors smes developers patients commuters patients teachers smes tourists seniors tourists commuters smes youth seniors smes youth youth developers,1
technology,rural,232396,teachers farmers parents smes tourists developers teachers developers youth patients,1
agriculture,coastal,17419,commuters tourists seniors,1
agriculture,coastal,9675,developers tourists commuters tourists seniors youth tourists developers seniors youth patients youth parents patients farmers commuters commuters patients tourists commuters parents tourists teachers tourists tourists youth seniors youth seniors tourists,1
education,rural,40625,teachers tourists patients smes smes patients smes farmers youth parents developers teachers youth smes developers tourists youth youth seniors parents youth smes parents smes youth seniors seniors patients parents parents,1
healthcare,unknown,105160,teachers commuters tourists,1
other,unknown,149848,patients commuters farmers farmers developers developers parents teachers parents seniors tourists youth patients parents developers commuters commuters teachers tourists smes youth parents parents smes smes commuters teachers parents teachers seniors,1
technology,coastal,93662,farmers tourists farmers,1
healthcare,urban,172786,developers developers tourists,1
agriculture,inland,8945,smes farmers teachers developers teachers tourists parents parents teachers tourists parents parents smes parents commuters patients commuters youth tourists patients,1
infrastructure,coastal,180741,farmers commuters smes,0
education,suburban,139940,patients parents developers seniors patients youth seniors tourists farmers tourists parents tourists seniors tourists farmers farmers youth youth developers seniors,1
technology,coastal,87276,tourists youth teachers,1
infrastructure,coastal,212655,farmers patients developers teachers commuters parents farmers youth commuters youth tourists farmers smes farmers teachers seniors seniors commuters youth youth commuters tourists commuters tourists patients teachers patients patients developers smes,1
education,unknown,287961,commuters teachers teachers,0
healthcare,unknown,137369,parents farmers smes commuters smes developers parents commuters parents commuters parents seniors teachers patients seniors youth youth smes parents tourists,1
education,rural,209950,developers youth smes patients youth teachers smes youth tourists teachers patients farmers smes seniors smes farmers parents seniors farmers commuters seniors smes smes developers farmers parents commuters smes teachers smes,1
agriculture,rural,225796,parents developers tourists,0
healthcare,rural,208859,seniors tourists youth,1
education,unknown,264938,seniors farmers tourists commuters smes patients commuters seniors patients farmers,0
education,unknown,260033,seniors farmers tourists,0
education,coastal,23269,teachers commuters parents seniors seniors parents commuters teachers teachers patients,1
education,rural,88507,developers teachers youth teachers seniors teachers patients commuters parents developers farmers youth smes patients smes developers commuters youth developers tourists developers farmers patients teachers commuters smes developers seniors seniors farmers,1
technology,suburban,120005,teachers teachers patients youth tourists smes seniors youth smes farmers,1
agriculture,inland,268996,farmers youth seniors developers youth smes smes farmers commuters commuters,0
healthcare,coastal,95263,developers youth smes parents developers tourists farmers seniors teachers developers parents teachers tourists smes teachers parents tourists developers parents youth,1
other,urban,52300,parents farmers parents,1
infrastructure,coastal,36116,teachers tourists teachers patients teachers smes youth patients developers farmers commuters developers seniors developers seniors seniors parents developers patients commuters farmers farmers teachers youth seniors commuters patients smes developers seniors,1
education,inland,70272,developers tourists tourists patients parents patients smes smes patients commuters developers farmers parents commuters seniors commuters teachers tourists tourists commuters,1
education,rural,112584,developers youth patients tourists commuters parents commuters youth seniors smes,1
healthcare,coastal,260911,tourists parents youth developers teachers farmers patients developers patients youth developers patients developers farmers commuters farmers tourists commuters farmers farmers parents seniors tourists teachers youth developers smes smes youth farmers,1
technology,urban,45924,developers youth youth patients patients youth tourists teachers farmers smes smes teachers developers youth patients youth youth youth teachers parents farmers parents seniors teachers parents teachers youth patients parents smes,1
other,inland,222259,smes smes youth developers patients commuters commuters commuters smes youth commuters smes patients farmers tourists seniors commuters developers farmers farmers commuters parents teachers commuters commuters teachers farmers smes seniors smes,1
other,unknown,280890,developers smes commuters,0
agriculture,urban,251872,patients seniors youth,0
agriculture,suburban,79737,youth developers developers,1
infrastructure,inland,271911,smes farmers parents tourists farmers youth commuters teachers patients youth teachers developers commuters tourists teachers developers developers seniors seniors patients,0
other,inland,228325,parents teachers smes commuters patients youth seniors patients patients farmers,0
other,urban,210128,commuters teachers developers,1
technology,urban,57154,seniors seniors patients,1
education,urban,147841,smes commuters smes smes tourists tourists farmers developers seniors patients farmers commuters developers youth commuters teachers parents farmers parents smes,1
healthcare,suburban,253189,tourists tourists developers,1
healthcare,coastal,197679,smes commuters patients farmers parents parents parents teachers farmers seniors,1
infrastructure,rural,215458,farmers parents farmers smes developers smes farmers parents tourists tourists seniors farmers developers smes patients commuters commuters farmers teachers teachers,0
other,urban,120919,smes seniors tourists,1
healthcare,urban,97494,patients patients youth tourists smes developers smes developers seniors smes smes farmers tourists parents smes patients youth patients teachers tourists commuters developers patients parents commuters farmers seniors farmers smes patients,1
infrastructure,coastal,189197,tourists tourists commuters smes commuters smes youth smes teachers commuters parents seniors seniors parents youth developers farmers commuters teachers teachers,1
technology,suburban,18710,developers commuters seniors patients developers commuters developers tourists patients farmers tourists tourists developers teachers commuters seniors seniors smes teachers developers,1
other,urban,92520,developers seniors smes,1
education,urban,5702,youth developers tourists teachers farmers parents tourists commuters seniors parents teachers developers commuters tourists farmers developers commuters tourists developers youth,1
agriculture,urban,286797,seniors smes parents,0
infrastructure,inland,130560,developers farmers smes teachers seniors farmers smes parents patients teachers,1
other,urban,83610,youth teachers seniors,1
other,suburban,146916,seniors seniors seniors parents seniors teachers parents farmers developers youth patients smes tourists tourists parents youth youth teachers commuters farmers farmers parents youth teachers developers farmers commuters commuters patients seniors,1
healthcare,suburban,107134,smes parents teachers,1
technology,rural,216802,developers farmers seniors seniors developers teachers teachers farmers commuters developers,1
other,coastal,181837,farmers commuters youth patients smes farmers youth youth farmers smes,0
infrastructure,unknown,211402,patients smes parents farmers farmers tourists farmers commuters seniors youth tourists youth smes tourists farmers commuters smes teachers patients parents,1
infrastructure,suburban,248656,parents commuters youth farmers developers youth farmers seniors smes seniors tourists smes tourists patients commuters seniors tourists patients seniors youth patients youth youth tourists developers teachers teachers teachers farmers seniors,1
other,rural,290996,parents farmers teachers smes parents farmers patients parents parents smes farmers parents patients smes teachers commuters smes teachers commuters commuters,0
healthcare,rural,5649,commuters parents smes,1
technology,unknown,38253,developers commuters teachers,1
education,rural,66080,seniors parents farmers commuters patients smes tourists youth farmers parents smes teachers parents youth parents patients parents seniors seniors youth seniors developers farmers smes developers farmers patients teachers developers farmers,1
infrastructure,inland,256946,commuters teachers seniors,0
agriculture,urban,151509,developers tourists parents commuters tourists seniors smes parents seniors parents commuters parents youth youth teachers farmers patients youth teachers parents teachers patients patients teachers smes seniors farmers tourists parents smes,1
agriculture,coastal,995,teachers developers youth,1
agriculture,urban,111458,youth farmers farmers developers developers teachers teachers parents farmers farmers parents seniors parents farmers smes farmers patients teachers teachers commuters farmers patients youth teachers farmers patients commuters teachers teachers tourists,1
infrastructure,urban,123076,patients teachers youth patients patients seniors developers developers smes seniors youth patients smes commuters commuters patients seniors teachers seniors seniors youth patients farmers tourists seniors farmers patients teachers seniors developers,1
technology,unknown,14051,farmers teachers tourists developers seniors seniors tourists teachers commuters farmers tourists patients parents farmers parents smes farmers parents patients farmers patients teachers commuters youth farmers farmers smes tourists parents farmers,1
other,rural,260105,developers youth farmers,0
healthcare,urban,271914,developers smes developers,1
healthcare,unknown,260540,seniors youth smes smes youth patients youth patients commuters patients,1
technology,rural,86364,seniors youth developers seniors commuters youth patients developers teachers smes patients teachers parents farmers farmers parents seniors teachers seniors smes parents youth tourists tourists smes commuters developers smes farmers youth,1
education,coastal,248561,farmers tourists seniors commuters youth tourists patients teachers seniors developers tourists seniors teachers patients seniors parents developers seniors patients commuters,1
infrastructure,coastal,77049,seniors parents farmers,1
technology,suburban,184056,youth youth teachers developers developers tourists youth teachers patients developers developers patients teachers commuters farmers developers smes seniors seniors patients,1
technology,urban,200927,patients patients developers teachers tourists farmers smes farmers developers youth parents parents tourists parents tourists developers parents teachers developers developers,1
healthcare,unknown,99760,smes seniors teachers,1
other,coastal,194159,parents patients farmers,0
education,unknown,170816,patients tourists farmers,1
healthcare,suburban,76936,commuters tourists parents,1
infrastructure,coastal,238994,farmers developers seniors commuters smes seniors parents parents youth parents parents parents teachers smes smes parents commuters seniors smes tourists,1
healthcare,unknown,47867,developers teachers parents commuters farmers tourists youth developers parents patients,1
healthcare,coastal,66863,seniors patients developers,1
healthcare,rural,32382,smes patients parents youth parents commuters parents parents parents smes,1
infrastructure,unknown,5015,parents parents developers,1
infrastructure,suburban,207203,developers commuters tourists,0
infrastructure,unknown,5813,smes youth tourists farmers youth developers teachers teachers parents seniors,1
technology,rural,108767,developers developers seniors commuters seniors youth seniors smes commuters developers smes patients tourists developers seniors developers youth smes seniors parents,1
infrastructure,suburban,246162,parents patients tourists patients parents commuters parents seniors developers youth,1
agriculture,coastal,241587,parents farmers commuters,0
healthcare,coastal,77573,developers youth youth teachers commuters smes seniors youth patients parents teachers farmers seniors seniors tourists farmers parents seniors seniors teachers,1
education,unknown,70573,developers commuters patients,1
technology,unknown,120065,farmers youth seniors seniors tourists smes seniors teachers commuters smes,1
agriculture,urban,230704,patients tourists teachers,1
other,unknown,215223,smes teachers smes youth farmers commuters commuters smes smes parents farmers patients youth youth youth developers farmers tourists commuters teachers smes tourists youth parents tourists farmers farmers parents youth tourists,1
infrastructure,coastal,170743,youth farmers seniors,1
technology,suburban,139700,commuters teachers teachers parents developers patients parents teachers smes patients developers teachers seniors tourists seniors farmers parents patients youth tourists farmers seniors commuters commuters patients youth youth developers seniors patients,1
technology,inland,406,teachers tourists teachers patients farmers youth patients smes seniors teachers teachers patients patients teachers tourists tourists seniors seniors smes youth tourists teachers seniors developers commuters teachers patients farmers commuters developers,1
other,coastal,31846,teachers commuters teachers,1
healthcare,rural,1927,farmers commuters commuters tourists patients teachers farmers parents smes youth parents youth teachers commuters commuters developers seniors teachers commuters seniors,1
infrastructure,rural,75187,commuters developers parents patients smes patients seniors youth seniors farmers patients seniors seniors teachers youth developers seniors parents developers smes,1
other,suburban,207774,seniors parents smes developers patients seniors teachers tourists tourists farmers farmers patients farmers developers parents farmers seniors farmers commuters smes,1
other,inland,62256,seniors teachers parents,1
other,unknown,166971,teachers seniors youth seniors parents parents tourists teachers developers patients,0
infrastructure,suburban,155970,farmers developers developers parents patients smes youth seniors patients farmers smes seniors seniors smes smes patients farmers teachers parents smes teachers farmers commuters developers smes tourists smes patients commuters seniors,1
infrastructure,inland,47165,parents patients seniors smes parents smes seniors farmers farmers smes youth seniors parents commuters seniors seniors patients developers patients smes,1
technology,suburban,88576,commuters teachers developers tourists patients parents farmers farmers tourists teachers tourists commuters tourists youth tourists commuters youth commuters teachers farmers developers farmers tourists smes commuters parents commuters parents commuters smes,1
infrastructure,coastal,102288,teachers developers developers seniors smes developers parents youth seniors developers tourists youth farmers youth seniors teachers parents farmers seniors developers farmers parents commuters developers parents developers patients developers developers smes,1
technology,rural,31297,teachers seniors tourists,1
education,urban,298046,tourists tourists teachers farmers developers patients patients commuters parents teachers,1
healthcare,rural,107555,teachers teachers smes,1
infrastructure,suburban,23589,commuters teachers commuters developers seniors teachers parents farmers tourists teachers,1
agriculture,unknown,30456,developers developers teachers farmers parents parents developers farmers developers commuters commuters youth parents commuters parents patients youth parents parents tourists tourists farmers youth tourists commuters patients farmers patients smes seniors,1
agriculture,coastal,66442,developers smes parents teachers commuters farmers tourists commuters commuters youth tourists patients teachers farmers youth commuters seniors teachers teachers developers farmers commuters teachers farmers tourists patients smes developers seniors teachers,1
infrastructure,suburban,259652,commuters parents commuters teachers teachers smes parents developers seniors developers,0
technology,unknown,275136,tourists smes smes teachers farmers seniors developers farmers parents farmers,1
healthcare,inland,126782,parents farmers developers commuters patients developers smes developers smes developers tourists youth seniors teachers seniors patients seniors patients youth commuters,1
infrastructure,urban,276453,patients farmers teachers teachers farmers smes seniors teachers tourists tourists tourists patients developers tourists farmers tourists parents teachers youth commuters,1
other,suburban,36324,commuters teachers tourists,1
education,coastal,77075,tourists teachers commuters youth developers teachers commuters smes commuters tourists developers youth commuters seniors parents tourists teachers youth seniors teachers developers seniors patients patients youth patients teachers smes teachers teachers,1
agriculture,suburban,285308,tourists seniors commuters parents youth patients patients smes commuters youth,1
agriculture,unknown,213305,smes patients farmers tourists seniors developers teachers youth seniors commuters parents youth farmers commuters seniors parents farmers commuters teachers smes commuters parents teachers commuters commuters developers seniors farmers tourists farmers,1
healthcare,rural,135117,tourists smes patients,1
technology,rural,172743,commuters farmers parents youth parents seniors tourists youth commuters teachers developers patients farmers commuters commuters parents seniors farmers developers parents seniors commuters farmers patients seniors youth commuters farmers tourists patients,1
other,coastal,38729,parents smes seniors tourists parents commuters youth seniors seniors farmers parents farmers seniors teachers tourists commuters developers commuters tourists teachers,1
agriculture,rural,79569,teachers parents smes tourists developers developers seniors parents parents smes,1
healthcare,urban,216598,developers developers seniors,1
other,coastal,283723,youth seniors parents patients developers patients commuters teachers tourists tourists smes parents farmers tourists teachers parents parents farmers seniors commuters,0
healthcare,rural,155467,teachers youth tourists farmers teachers farmers tourists commuters commuters tourists teachers farmers commuters parents parents teachers tourists parents farmers youth commuters patients smes developers commuters parents developers developers youth seniors,1
technology,coastal,17299,developers smes commuters,1
healthcare,suburban,84756,patients smes patients smes developers commuters commuters parents tourists tourists,1
education,inland,3515,developers youth developers farmers seniors tourists parents seniors teachers farmers,1
other,suburban,211122,parents farmers parents farmers youth commuters seniors youth farmers parents seniors developers patients teachers farmers parents farmers youth farmers parents patients farmers parents developers tourists farmers farmers commuters commuters farmers,1
other,suburban,206644,farmers seniors smes smes seniors smes youth patients teachers parents,1
agriculture,urban,172380,farmers farmers tourists smes developers parents developers smes farmers tourists,1
agriculture,unknown,110898,smes developers parents parents patients youth tourists farmers tourists developers seniors tourists parents seniors patients youth youth seniors developers youth developers smes youth patients parents teachers patients smes youth patients,1
agriculture,inland,165059,teachers youth tourists,0
infrastructure,inland,229164,patients seniors youth seniors parents smes commuters developers youth commuters,1
technology,inland,111218,smes teachers seniors developers teachers patients parents youth smes youth developers teachers patients smes patients parents patients developers smes patients commuters farmers patients smes smes patients teachers parents developers patients,1
technology,coastal,197319,patients youth patients smes farmers commuters commuters patients patients seniors teachers commuters smes parents youth tourists commuters tourists tourists seniors smes farmers patients patients farmers tourists commuters tourists tourists farmers,1
education,suburban,84988,developers developers seniors smes seniors smes developers patients developers smes seniors tourists youth farmers tourists commuters parents parents developers seniors,1
technology,unknown,178177,teachers youth farmers youth patients seniors parents tourists parents parents,1
education,coastal,9472,smes teachers patients patients parents seniors commuters farmers patients patients,1
other,suburban,167277,developers developers patients smes developers patients commuters parents seniors farmers smes tourists seniors patients parents commuters seniors smes farmers commuters teachers tourists parents youth developers parents parents seniors teachers farmers,1
healthcare,coastal,139359,seniors smes developers commuters tourists commuters developers farmers commuters teachers commuters youth farmers parents tourists youth farmers teachers smes youth youth parents smes parents tourists seniors commuters teachers farmers developers,1
agriculture,urban,219246,teachers smes youth,1
technology,unknown,243749,developers developers parents tourists tourists parents seniors farmers seniors patients tourists smes patients commuters parents seniors parents tourists commuters farmers,1
education,suburban,105399,developers farmers teachers patients patients developers patients commuters smes developers developers farmers seniors smes youth farmers developers seniors patients farmers,1
healthcare,unknown,229020,seniors developers commuters parents smes teachers smes smes youth teachers,1
technology,rural,131206,patients tourists teachers,1
infrastructure,rural,266019,parents youth developers farmers seniors seniors commuters patients farmers developers patients seniors commuters seniors seniors commuters farmers commuters smes tourists patients smes farmers commuters teachers seniors farmers seniors patients parents,0
healthcare,unknown,137736,parents developers smes parents seniors youth tourists commuters developers tourists commuters youth commuters tourists youth developers patients farmers teachers farmers,1
other,coastal,30824,patients teachers developers,1
healthcare,urban,937,parents farmers patients,1
healthcare,unknown,106941,commuters commuters seniors commuters developers developers youth tourists commuters patients farmers commuters tourists youth youth parents tourists patients youth farmers seniors teachers parents developers teachers teachers tourists patients parents farmers,1
technology,rural,270909,farmers tourists teachers parents youth smes developers seniors parents parents tourists farmers developers teachers tourists tourists farmers youth seniors tourists tourists patients commuters youth parents parents farmers seniors developers patients,1
infrastructure,unknown,277567,commuters developers farmers seniors farmers youth developers teachers tourists youth parents patients seniors patients smes farmers youth developers commuters seniors seniors smes farmers seniors youth youth farmers seniors developers patients,0
healthcare,urban,95667,tourists seniors patients developers tourists teachers parents youth patients commuters youth patients seniors commuters patients patients developers tourists patients commuters seniors seniors teachers smes tourists tourists parents youth farmers developers,1
technology,rural,58879,tourists parents commuters teachers seniors commuters smes teachers seniors farmers youth seniors teachers teachers patients commuters tourists youth tourists teachers,1
education,unknown,289326,youth teachers smes parents developers teachers commuters commuters teachers smes,0
healthcare,inland,102509,farmers patients commuters commuters parents seniors patients parents farmers tourists youth commuters seniors seniors farmers patients seniors parents tourists teachers smes commuters parents smes patients seniors tourists tourists seniors farmers,1
healthcare,urban,156362,farmers youth tourists tourists developers commuters seniors smes smes seniors teachers tourists teachers seniors youth patients patients teachers commuters youth,1
agriculture,coastal,116665,smes tourists parents seniors parents parents farmers seniors developers seniors,1
infrastructure,rural,48915,farmers tourists parents,1
other,unknown,95803,patients tourists developers teachers youth farmers commuters tourists patients farmers youth tourists developers farmers patients commuters tourists smes patients farmers tourists farmers youth farmers commuters commuters farmers patients patients smes,1
infrastructure,unknown,224153,youth smes patients seniors patients patients tourists youth commuters youth,0
technology,urban,257478,youth smes teachers farmers teachers developers teachers youth farmers seniors commuters smes parents developers farmers tourists commuters commuters farmers smes youth youth smes commuters youth tourists parents parents smes teachers,1
technology,suburban,225346,teachers commuters smes seniors parents farmers youth tourists smes parents patients developers patients seniors farmers parents parents developers teachers youth,1
healthcare,unknown,44341,parents commuters seniors seniors teachers commuters tourists seniors patients parents farmers patients patients developers developers developers parents seniors developers smes farmers teachers patients youth tourists patients farmers youth commuters commuters,1
healthcare,unknown,129642,commuters farmers commuters developers commuters developers tourists farmers seniors youth teachers smes developers developers tourists youth commuters youth seniors farmers,1
technology,rural,239396,patients youth teachers youth parents parents tourists patients commuters parents seniors seniors smes farmers patients developers farmers teachers youth youth patients tourists parents youth youth seniors tourists youth youth smes,1
education,inland,292252,developers seniors smes smes parents tourists parents seniors tourists parents farmers smes commuters developers teachers patients parents patients commuters commuters teachers seniors parents developers smes farmers seniors teachers developers developers,1
technology,unknown,113360,parents youth parents commuters tourists parents seniors smes smes commuters teachers teachers seniors teachers commuters teachers developers tourists developers youth,1
technology,rural,273948,patients tourists seniors farmers developers farmers teachers seniors commuters developers parents farmers teachers teachers developers seniors developers tourists patients parents,1
education,coastal,55702,developers developers smes commuters farmers smes commuters smes seniors farmers,1
healthcare,rural,237700,seniors developers commuters patients parents patients developers youth youth developers teachers parents patients farmers patients teachers tourists commuters commuters developers smes farmers teachers farmers youth commuters youth commuters parents tourists,1
infrastructure,inland,62604,developers tourists commuters patients patients parents commuters patients parents youth,1
agriculture,suburban,171188,commuters teachers tourists developers youth commuters developers parents developers youth developers teachers teachers commuters tourists farmers tourists farmers parents parents patients farmers farmers parents developers developers commuters tourists farmers patients,1
education,suburban,28918,smes tourists developers,1
agriculture,suburban,147821,tourists youth patients farmers seniors smes smes smes parents patients,1
healthcare,unknown,233717,farmers developers youth commuters seniors youth teachers tourists smes teachers,1
agriculture,coastal,77614,commuters tourists patients parents farmers farmers patients patients tourists developers commuters seniors farmers patients teachers seniors commuters smes patients seniors parents youth developers youth parents youth commuters patients patients developers,1
technology,coastal,82328,smes parents patients commuters seniors tourists smes smes farmers youth farmers smes patients developers farmers commuters smes tourists patients patients,1
infrastructure,coastal,294920,parents parents seniors,0
agriculture,inland,118054,farmers patients commuters,1
education,urban,85259,smes commuters developers,1
healthcare,rural,199546,teachers patients teachers teachers commuters teachers teachers parents patients teachers patients smes smes tourists farmers teachers youth developers farmers parents tourists youth patients smes teachers farmers developers farmers smes commuters,1
agriculture,suburban,135519,teachers commuters smes patients developers patients parents teachers seniors commuters youth youth farmers smes tourists parents smes patients developers developers commuters patients commuters patients smes patients commuters farmers tourists youth,1
agriculture,coastal,226976,developers parents youth teachers tourists seniors smes teachers patients parents,1
